Gene	MutSig(Q-value)	# Mut	#	Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
MRGPRX1		6	5	515	1.0%	No
CDH3		8	8	515	1.6%	No
FMR1		2	2	515	0.4%	No
IRF5		4	4	515	0.8%	No
OR3A1		2	2	515	0.4%	No
IRF6		5	5	515	1.0%	No
OR3A2		3	3	515	0.6%	No
IRF7		3	3	515	0.6%	No
IRS1		2	2	515	0.4%	Yes
ORC1		2	2	515	0.4%	No
ORC2		4	4	515	0.8%	No
SH3PXD2B		3	3	515	0.6%	No
ISG20		1	1	515	0.2%	No
CDH11		17	16	515	3.1%	Yes
CYP4X1		2	2	515	0.4%	No
ITGA9		3	2	515	0.4%	No
ITGAD		6	6	515	1.2%	No
ITGAE		4	4	515	0.8%	No
ITGAL		8	8	515	1.6%	No
ITGAM		10	8	515	1.6%	No
SLX4IP		3	3	515	0.6%	No
FOS		8	7	515	1.4%	No
GPRIN3		7	7	515	1.4%	No
CDK6		2	2	515	0.4%	Yes
FOLR3		1	1	515	0.2%	No
CDK5		4	4	515	0.8%	No
CDK4		5	5	515	1.0%	Yes
CDK3		2	2	515	0.4%	No
CDK2		1	1	515	0.2%	No
FOLR1		3	3	515	0.6%	No
CDH18		15	14	515	2.7%	No
CDH17		5	5	515	1.0%	No
FOLH1		8	7	515	1.4%	No
CDH16		6	6	515	1.2%	No
CDH15		4	4	515	0.8%	No
CDH13		6	6	515	1.2%	No
ITGA2B		5	5	515	1.0%	No
ITGA3		5	5	515	1.0%	No
BOD1L2		1	1	515	0.2%	No
ITGA4		13	13	515	2.5%	No
ITGA5		3	3	515	0.6%	No
DYNAP		2	2	515	0.4%	No
ITGA7		7	7	515	1.4%	No
KCTD1		3	3	515	0.6%	No
ITGB3		7	7	515	1.4%	No
ITGB4		8	8	515	1.6%	No
EIF6		3	3	515	0.6%	No
ITGB5		2	2	515	0.4%	No
COX18		1	1	515	0.2%	No
ITGB6		4	4	515	0.8%	No
ITGB7		1	1	515	0.2%	No
CDKN3		2	2	515	0.4%	No
CDKN2D		1	1	515	0.2%	No
YIPF7		5	5	515	1.0%	No
CDKN2C		1	1	515	0.2%	Yes
CDKN2B		1	1	515	0.2%	Yes
FRYL		19	18	515	3.5%	No
CDKN2A		113	105	515	20.4%	Yes
FPR3		3	3	515	0.6%	No
CDKN1B		2	2	515	0.4%	Yes
FPR2		4	4	515	0.8%	No
FPR1		5	4	515	0.8%	No
CDK9		3	3	515	0.6%	No
FPGS		2	2	515	0.4%	No
CDK8		9	9	515	1.7%	Yes
FOSL2		9	9	515	1.7%	No
FOSB		3	3	515	0.6%	No
ITGAV		5	5	515	1.0%	No
ITGAX		10	10	515	1.9%	No
ITGB1		15	12	515	2.3%	No
ITGB2		5	4	515	0.8%	No
BOD1L1		12	12	515	2.3%	No
RNF175		3	3	515	0.6%	No
CD52		2	2	515	0.4%	No
TAS2R43		1	1	515	0.2%	No
CDSN		3	3	515	0.6%	No
CDS1		4	4	515	0.8%	No
TAS2R41		3	3	515	0.6%	No
TAS2R40		4	4	515	0.8%	No
TAS2R39		1	1	515	0.2%	No
CDR2		3	3	515	0.6%	No
CDR1		6	6	515	1.2%	No
CDO1		2	2	515	0.4%	No
ITGB8		5	5	515	1.0%	No
ITIH1		2	2	515	0.4%	No
ITIH2		5	5	515	1.0%	No
ITIH3		3	3	515	0.6%	No
TAS2R19		1	1	515	0.2%	No
TAS2R30		2	2	515	0.4%	No
TAS2R46		6	6	515	1.2%	No
TAS2R31		2	2	515	0.4%	No
CEBPG		1	1	515	0.2%	No
CEBPD		1	1	515	0.2%	No
TAS2R50		1	1	515	0.2%	No
TAS2R20		3	3	515	0.6%	No
CEACAM5		5	5	515	1.0%	No
CLGN		4	4	515	0.8%	No
CDX4		1	1	515	0.2%	No
CDX2		1	1	515	0.2%	Yes
RDH8		1	1	515	0.2%	No
CES1		6	6	515	1.2%	No
CENPF		10	10	515	1.9%	No
CENPE		16	15	515	2.9%	No
ENPP5		2	2	515	0.4%	No
CENPC		2	2	515	0.4%	No
PRDM4		2	2	515	0.4%	No
PRDM5		5	5	515	1.0%	No
CENPB		3	2	515	0.4%	No
CENPA		1	1	515	0.2%	Yes
TXNRD3		2	2	515	0.4%	No
CEL		4	3	515	0.6%	No
HNRNPUL1		6	6	515	1.2%	No
MICALL1		4	4	515	0.8%	No
TUBGCP6		9	8	515	1.6%	No
ATE1		4	4	515	0.8%	No
RIMBP3		6	5	515	1.0%	No
PTCHD1		5	5	515	1.0%	No
KATNA1		3	3	515	0.6%	No
KRR1		1	1	515	0.2%	No
PRDM7		3	3	515	0.6%	No
SHC2		5	5	515	1.0%	No
CTSC		2	2	515	0.4%	No
UHRF2		3	2	515	0.4%	No
CFL1		2	2	515	0.4%	No
CETP		2	2	515	0.4%	No
KIAA1549L		14	14	515	2.7%	No
CETN3		2	2	515	0.4%	No
BTN3A1		4	4	515	0.8%	No
BTN3A2		3	3	515	0.6%	No
FRG2B		6	6	515	1.2%	No
CETN2		1	1	515	0.2%	No
CETN1		6	6	515	1.2%	No
STRIP1		2	2	515	0.4%	No
EMILIN2		7	7	515	1.4%	No
MYLK2		7	7	515	1.4%	No
OBSCN		43	36	515	7.0%	No
CIT		14	14	515	2.7%	No
ZCCHC3		1	1	515	0.2%	No
ALG2		2	2	515	0.4%	No
MAGEB10		2	2	515	0.4%	No
TRIM5		4	4	515	0.8%	No
EMILIN1		10	9	515	1.7%	No
SYDE1		2	2	515	0.4%	No
CEP43		1	1	515	0.2%	Yes
CFTR		14	14	515	2.7%	No
MAGT1		3	3	515	0.6%	No
RBM48		3	3	515	0.6%	No
DCAF8L1		6	6	515	1.2%	No
CEACAM8		1	1	515	0.2%	No
CCDC112		1	1	515	0.2%	No
CEACAM7		3	3	515	0.6%	No
UNC13C		39	36	515	7.0%	No
CEACAM3		1	1	515	0.2%	No
MALSU1		2	2	515	0.4%	No
CGB3		2	2	515	0.4%	No
CGA		1	1	515	0.2%	No
EIF2AK4		7	7	515	1.4%	No
FHIP1B		2	2	515	0.4%	No
TEX35		1	1	515	0.2%	No
PLEKHN1		4	4	515	0.8%	No
KIRREL2		9	9	515	1.7%	No
FAM207A		1	1	515	0.2%	No
DTNBP1		2	2	515	0.4%	No
TMEM222		2	2	515	0.4%	No
SMIM21		1	1	515	0.2%	No
HDHD2		2	2	515	0.4%	No
ZADH2		1	1	515	0.2%	No
OR6C65		6	6	515	1.2%	No
OR6C68		1	1	515	0.2%	No
TEX55		9	7	515	1.4%	No
ADGRV1		46	39	515	7.6%	No
IGSF11		5	5	515	1.0%	No
KATNAL1		5	5	515	1.0%	No
WDR54		3	3	515	0.6%	No
MND1		3	3	515	0.6%	No
NSRP1		3	3	515	0.6%	No
ENKD1		1	1	515	0.2%	No
ZRANB3		4	4	515	0.8%	No
FAM153A		1	1	515	0.2%	No
CDNF		3	3	515	0.6%	No
ALDH16A1		2	2	515	0.4%	No
CPT1C		6	6	515	1.2%	No
FBXO30		3	3	515	0.6%	No
RAB6C		1	1	515	0.2%	No
FAM186B		4	4	515	0.8%	No
HORMAD1		2	2	515	0.4%	No
ARMC2		3	3	515	0.6%	No
IZUMO2		4	4	515	0.8%	No
JOSD2		1	1	515	0.2%	No
KBTBD7		2	2	515	0.4%	No
C3ORF20		6	6	515	1.2%	No
ANKRD27		6	6	515	1.2%	No
QRICH2		10	10	515	1.9%	No
MYCBPAP		7	7	515	1.4%	No
TKTL2		9	9	515	1.7%	No
FSCB		17	16	515	3.1%	No
TMEM192		1	1	515	0.2%	No
SIGLEC11		2	2	515	0.4%	No
SLC2A13		7	7	515	1.4%	No
PODN		4	4	515	0.8%	No
CCDC18		13	13	515	2.5%	No
TCEANC2		2	2	515	0.4%	No
CNMD		3	3	515	0.6%	No
GLRA4		3	3	515	0.6%	No
SH2D7		3	3	515	0.6%	No
WWP2		7	7	515	1.4%	No
SOX30		3	3	515	0.6%	No
ZNF704		7	7	515	1.4%	No
DUS4L		2	2	515	0.4%	No
CNTRL		13	12	515	2.3%	Yes
ANO3		6	6	515	1.2%	No
KIF21B		18	18	515	3.5%	No
PDS5B		7	7	515	1.4%	Yes
FNBP1		5	5	515	1.0%	Yes
SMG1		21	19	515	3.7%	Yes
OR10J5		2	2	515	0.4%	No
MYT1L		11	10	515	1.9%	No
MON2		5	5	515	1.0%	No
PDXDC1		4	4	515	0.8%	No
TNIK		19	16	515	3.1%	No
DEPP1		5	5	515	1.0%	No
SNRNP35		2	2	515	0.4%	No
NEUROG3		2	2	515	0.4%	No
RAPGEF4		1	1	515	0.2%	No
RALYL		9	8	515	1.6%	No
ADGRG4		30	28	515	5.4%	No
CNTN4		13	12	515	2.3%	No
TMEM115		2	2	515	0.4%	No
DUSP14		3	3	515	0.6%	No
SCGB1D4		2	2	515	0.4%	No
TOPBP1		8	8	515	1.6%	No
CDC20B		5	5	515	1.0%	No
TPPP		1	1	515	0.2%	No
KRTCAP3		2	2	515	0.4%	No
NMNAT2		1	1	515	0.2%	No
CLUAP1		3	3	515	0.6%	No
LRRN4		2	2	515	0.4%	No
ZHX3		8	8	515	1.6%	No
HGSNAT		2	2	515	0.4%	No
ENDOD1		2	2	515	0.4%	No
ZSWIM8		8	8	515	1.6%	No
NCOA6		10	9	515	1.7%	No
LRRC56		4	4	515	0.8%	No
TRIOBP		12	10	515	1.9%	No
HSF2BP		1	1	515	0.2%	No
RER1		2	2	515	0.4%	No
B4GAT1		2	2	515	0.4%	No
PIM2		1	1	515	0.2%	No
MID2		4	4	515	0.8%	No
SPTSSB		1	1	515	0.2%	No
TMCC1		7	7	515	1.4%	No
SPANXN4		1	1	515	0.2%	No
PDZRN3		14	13	515	2.5%	No
UNC13A		13	9	515	1.7%	No
MYO16		20	19	515	3.7%	No
CT45A5		2	2	515	0.4%	No
KDM1A		4	4	515	0.8%	No
RBM34		6	6	515	1.2%	No
PRIMPOL		1	1	515	0.2%	No
BAGE2		2	2	515	0.4%	No
PAQR8		1	1	515	0.2%	No
SNRNP200		13	10	515	1.9%	No
PPIL4		1	1	515	0.2%	No
PALLD		9	8	515	1.6%	No
UPK1A		1	1	515	0.2%	No
TENT4A		7	7	515	1.4%	No
ADRM1		3	3	515	0.6%	No
SLC35D2		1	1	515	0.2%	No
RNF183		1	1	515	0.2%	No
OR2T3		11	9	515	1.7%	No
OR2T8		6	6	515	1.2%	No
OR2W3		7	7	515	1.4%	No
OR14K1		2	2	515	0.4%	No
CPSF6		4	4	515	0.8%	No
RTL8B		2	2	515	0.4%	No
NUDT21		2	2	515	0.4%	No
OGFR		1	1	515	0.2%	No
PHLPP2		5	5	515	1.0%	No
ZNF292		20	20	515	3.9%	No
PDZD2		22	21	515	4.1%	No
WDTC1		4	4	515	0.8%	No
XPO7		7	7	515	1.4%	No
KDM4B		10	9	515	1.7%	No
MAST3		8	8	515	1.6%	No
USP33		12	12	515	2.3%	No
FBF1		3	3	515	0.6%	No
ZNF813		3	3	515	0.6%	No
DOP1A		26	25	515	4.9%	No
DDX52		4	4	515	0.8%	No
ATCAY		5	5	515	1.0%	No
ZPBP		4	4	515	0.8%	No
COL27A1		12	12	515	2.3%	No
OR6F1		8	7	515	1.4%	No
ABHD2		4	3	515	0.6%	No
WWP1		8	8	515	1.6%	Yes
OR5H15		8	8	515	1.6%	No
OR5K3		2	2	515	0.4%	No
OR5K4		4	4	515	0.8%	No
RAB35		2	2	515	0.4%	Yes
WDFY3		26	23	515	4.5%	No
DAAM1		8	8	515	1.6%	No
RNF11		1	1	515	0.2%	No
TRUB2		1	1	515	0.2%	No
MAPKBP1		14	14	515	2.7%	No
PLCH1		21	19	515	3.7%	No
FETUB		2	2	515	0.4%	No
KLHDC10		2	2	515	0.4%	No
CYFIP2		7	7	515	1.4%	No
OR5H14		10	10	515	1.9%	No
AKAP8L		4	4	515	0.8%	No
VAX1		2	2	515	0.4%	No
TDRKH		5	4	515	0.8%	No
TMPRSS13		6	6	515	1.2%	No
LILRB3		2	2	515	0.4%	No
LILRA1		9	9	515	1.7%	No
B3GNT5		1	1	515	0.2%	No
LILRA2		9	9	515	1.7%	No
LILRA3		5	5	515	1.0%	No
RBPMS		1	1	515	0.2%	No
DCAF4L2		12	12	515	2.3%	No
RAB31		1	1	515	0.2%	No
STK38L		2	2	515	0.4%	No
SPEN		30	27	515	5.2%	Yes
FBXO21		7	7	515	1.4%	No
EXOSC7		1	1	515	0.2%	No
CNOT1		19	18	515	3.5%	No
LGALS12		3	3	515	0.6%	No
RAB21		1	1	515	0.2%	No
DSTN		1	1	515	0.2%	No
ADAP1		2	2	515	0.4%	No
ABCC11		9	9	515	1.7%	No
RIPK3		2	2	515	0.4%	No
OR4A47		3	3	515	0.6%	No
ZNF440		11	10	515	1.9%	No
MIER3		4	4	515	0.8%	No
ZNF285		10	10	515	1.9%	No
IL21		3	3	515	0.6%	No
TTC23L		4	4	515	0.8%	No
CHORDC1		3	3	515	0.6%	No
PARP15		3	3	515	0.6%	No
CCDC159		2	1	515	0.2%	No
SWSAP1		2	2	515	0.4%	No
IL24		2	2	515	0.4%	No
SHANK3		6	6	515	1.2%	No
SLC27A2		2	2	515	0.4%	No
SPINK5		3	3	515	0.6%	No
KIF2C		1	1	515	0.2%	No
SHISAL1		2	1	515	0.2%	No
LILRB4		7	7	515	1.4%	No
TMCO2		1	1	515	0.2%	No
ARSK		6	6	515	1.2%	No
GLIPR1		2	2	515	0.4%	No
FAM81B		1	1	515	0.2%	No
AP3M1		1	1	515	0.2%	No
PABPC1		1	1	515	0.2%	No
ZNF491		4	4	515	0.8%	No
ZNF441		3	3	515	0.6%	No
SEC22A		2	2	515	0.4%	No
ZNF684		6	6	515	1.2%	No
FAM229B		1	1	515	0.2%	No
LIAS		1	1	515	0.2%	No
TRIM9		4	4	515	0.8%	No
TLK2		8	8	515	1.6%	No
OR2T27		8	7	515	1.4%	No
ATF7		4	4	515	0.8%	No
SNRNP27		1	1	515	0.2%	No
FAM111A		4	4	515	0.8%	No
ZNF567		5	5	515	1.0%	No
MTX3		2	2	515	0.4%	No
KIAA0825		2	2	515	0.4%	No
GPR150		1	1	515	0.2%	No
SLC17A9		3	3	515	0.6%	No
VSTM2A		1	1	515	0.2%	No
DTWD2		1	1	515	0.2%	No
TTLL9		3	3	515	0.6%	No
DUSP21		3	3	515	0.6%	No
ZNF114		1	1	515	0.2%	No
GPATCH3		4	4	515	0.8%	No
IL4I1		1	1	515	0.2%	No
RELL2		2	2	515	0.4%	No
ZBED8		4	4	515	0.8%	No
TNN		22	21	515	4.1%	No
CHTF18		1	1	515	0.2%	No
CNTNAP3B		6	6	515	1.2%	No
ZNF335		8	8	515	1.6%	No
ELMO2		8	7	515	1.4%	No
GALNT11		4	4	515	0.8%	No
UBQLN3		6	6	515	1.2%	No
IL21R		5	5	515	1.0%	Yes
GALNT9		1	1	515	0.2%	No
ATP6V0A4		7	7	515	1.4%	No
IL22		3	3	515	0.6%	No
DEF6		2	2	515	0.4%	No
ITSN2		23	18	515	3.5%	No
STEEP1		3	3	515	0.6%	No
ZNF667		12	11	515	2.1%	No
MCUR1		1	1	515	0.2%	No
PCIF1		4	4	515	0.8%	No
ZNF383		5	5	515	1.0%	No
ITPA		4	4	515	0.8%	No
ITPK1		3	3	515	0.6%	No
ANKEF1		3	3	515	0.6%	No
ITPKA		1	1	515	0.2%	No
XPNPEP3		6	6	515	1.2%	No
ITPKB		6	5	515	1.0%	No
CHP2		3	3	515	0.6%	No
ITPR1		15	12	515	2.3%	No
ITPR2		24	23	515	4.5%	No
ITIH4		7	6	515	1.2%	No
CUZD1		3	3	515	0.6%	No
ITK		5	5	515	1.0%	Yes
STT3A		2	2	515	0.4%	No
GEMIN4		6	6	515	1.2%	No
KANSL1L		7	7	515	1.4%	No
PEG10		3	3	515	0.6%	No
NECAB3		1	1	515	0.2%	No
GPSM3		2	2	515	0.4%	No
FKBPL		5	4	515	0.8%	No
ZNF579		1	1	515	0.2%	No
SVIP		2	2	515	0.4%	No
DMRTC1		1	1	515	0.2%	No
DMRTC2		5	5	515	1.0%	No
KDM4C		6	6	515	1.2%	Yes
JAK1		8	8	515	1.6%	Yes
PPRC1		8	7	515	1.4%	No
JAK2		5	5	515	1.0%	Yes
JAK3		6	6	515	1.2%	Yes
FAM217B		2	2	515	0.4%	No
ERC1		9	9	515	1.7%	Yes
EXPH5		10	10	515	1.9%	No
TRIM35		4	4	515	0.8%	No
ITPR3		13	13	515	2.5%	No
IVD		4	4	515	0.8%	No
IVL		4	4	515	0.8%	No
JAG2		8	8	515	1.6%	No
AVL9		6	5	515	1.0%	No
ANO7		8	8	515	1.6%	No
DMRTA1		5	4	515	0.8%	No
JUNB		1	1	515	0.2%	No
ARHGAP26		7	7	515	1.4%	Yes
JUND		1	1	515	0.2%	No
TTLL5		3	3	515	0.6%	No
DMRTB1		2	2	515	0.4%	No
JUP		7	7	515	1.4%	No
SIPA1L3		12	12	515	2.3%	No
KIF1B		7	7	515	1.4%	No
IQSEC2		4	4	515	0.8%	No
CDK19		2	2	515	0.4%	No
SARM1		4	3	515	0.6%	No
PNPLA8		6	6	515	1.2%	No
ZBTB43		3	3	515	0.6%	No
JARID2		10	9	515	1.7%	Yes
PLB1		12	12	515	2.3%	No
ZNF423		17	17	515	3.3%	No
JUN		1	1	515	0.2%	Yes
ZC3H13		7	6	515	1.2%	No
KERA		4	4	515	0.8%	No
DNAJB4		3	3	515	0.6%	No
ARHGEF4		6	6	515	1.2%	No
DIDO1		23	19	515	3.7%	No
ESM1		2	2	515	0.4%	No
ADAM30		3	3	515	0.6%	No
ADAM29		12	12	515	2.3%	No
ZNF433		5	5	515	1.0%	No
CLSPN		8	7	515	1.4%	No
KCNA2		6	6	515	1.2%	No
KCNA3		10	10	515	1.9%	No
ZNF609		2	2	515	0.4%	No
KCNA4		11	11	515	2.1%	No
TBC1D9B		5	5	515	1.0%	No
GGA2		5	5	515	1.0%	No
WAPL		7	7	515	1.4%	No
SETX		14	14	515	2.7%	No
EMC1		3	3	515	0.6%	No
SLC45A1		5	5	515	1.0%	No
CAND2		1	1	515	0.2%	No
ANOS1		2	2	515	0.4%	No
CD82		2	2	515	0.4%	No
KARS1		4	4	515	0.8%	No
KCNA1		7	6	515	1.2%	No
SPACA9		1	1	515	0.2%	No
WDR5		2	2	515	0.4%	No
CACFD1		1	1	515	0.2%	No
ADAMTS13		5	5	515	1.0%	No
ADAMTS5		9	9	515	1.7%	No
ADAMTS8		6	6	515	1.2%	No
PRSS23		2	2	515	0.4%	No
KCND1		4	4	515	0.8%	No
KIF13A		9	8	515	1.6%	No
VWA8		7	6	515	1.2%	No
NEUROD6		8	8	515	1.6%	No
ZNF791		6	6	515	1.2%	No
RGPD2		3	3	515	0.6%	No
PRDM16		11	11	515	2.1%	Yes
PRDM14		8	8	515	1.6%	Yes
PRDM15		5	5	515	1.0%	No
FIGNL1		4	4	515	0.8%	No
KCNC3		3	3	515	0.6%	No
CMTR1		4	4	515	0.8%	No
ZNF709		5	5	515	1.0%	No
KCNC4		3	3	515	0.6%	No
ERP44		4	4	515	0.8%	No
HECW1		9	9	515	1.7%	No
ZNF564		3	3	515	0.6%	No
UHRF1BP1L		10	10	515	1.9%	No
SWAP70		2	2	515	0.4%	No
RRP1B		3	2	515	0.4%	No
MYCBP2		29	27	515	5.2%	No
KCNA5		4	4	515	0.8%	No
PTPN21		13	11	515	2.1%	No
KCNA6		10	10	515	1.9%	No
KCNA10		5	5	515	1.0%	No
KCNB1		3	3	515	0.6%	No
KCNC1		4	4	515	0.8%	No
KCNC2		4	3	515	0.6%	No
RNF180		3	3	515	0.6%	No
SREK1IP1		2	2	515	0.4%	No
KCNJ3		9	9	515	1.7%	No
ZNF454		1	1	515	0.2%	No
KCNJ4		4	4	515	0.8%	No
KCNJ2		4	4	515	0.8%	No
TMEM145		5	5	515	1.0%	No
PRR19		4	4	515	0.8%	No
KCND2		15	14	515	2.7%	No
KCND3		2	2	515	0.4%	No
KCNF1		7	7	515	1.4%	No
KCNG1		5	5	515	1.0%	No
KCNH1		10	10	515	1.9%	No
KCNH2		6	6	515	1.2%	No
KCNJ1		6	6	515	1.2%	No
KCNJ14		3	3	515	0.6%	No
KCNJ15		4	4	515	0.8%	No
CHD3		11	11	515	2.1%	No
CHD2		11	11	515	2.1%	Yes
CHD1		6	6	515	1.2%	No
RCC1		5	5	515	1.0%	No
CHAT		7	7	515	1.4%	No
RCBTB2		4	4	515	0.8%	No
CHAD		4	3	515	0.6%	No
C19ORF54		2	2	515	0.4%	No
KCNJ5		3	3	515	0.6%	Yes
KCNJ6		3	3	515	0.6%	No
ZNF780A		3	3	515	0.6%	No
KCNJ8		4	4	515	0.8%	No
KCNJ9		1	1	515	0.2%	No
KCNJ10		3	3	515	0.6%	No
KCNJ11		3	3	515	0.6%	No
AKR1C4		3	3	515	0.6%	No
KCNJ12		10	10	515	1.9%	No
CHD4		12	12	515	2.3%	Yes
KCNJ13		4	4	515	0.8%	No
KCNN1		2	2	515	0.4%	No
KCNN2		7	7	515	1.4%	No
KCNN4		3	3	515	0.6%	No
CHM		5	5	515	1.0%	No
CHKB		1	1	515	0.2%	No
CHIT1		3	3	515	0.6%	No
CHI3L2		2	2	515	0.4%	No
CHI3L1		2	2	515	0.4%	No
CHGB		5	5	515	1.0%	No
CHGA		2	2	515	0.4%	No
FRK		4	4	515	0.8%	No
FOXN3		5	5	515	1.0%	No
CHEK1		1	1	515	0.2%	Yes
KCNJ16		2	2	515	0.4%	No
ZSCAN1		6	5	515	1.0%	No
KCNK1		3	3	515	0.6%	No
KCNK2		3	3	515	0.6%	No
KCNK3		1	1	515	0.2%	No
KCNMA1		7	5	515	1.0%	No
KCNMB1		2	2	515	0.4%	No
KCNS3		4	4	515	0.8%	No
KDR		13	12	515	2.3%	Yes
KEL		8	7	515	1.4%	Yes
CHRM4		2	2	515	0.4%	No
CHRM3		9	9	515	1.7%	No
LYST		18	17	515	3.3%	No
CHRM2		4	4	515	0.8%	No
CHRM1		1	1	515	0.2%	No
ZNF776		1	1	515	0.2%	No
ZIK1		5	5	515	1.0%	No
ZNF547		6	6	515	1.2%	No
CHN2		7	7	515	1.4%	No
CHN1		7	7	515	1.4%	Yes
CHML		8	8	515	1.6%	No
KCNQ1		1	1	515	0.2%	No
KCNQ2		6	6	515	1.2%	No
KCNQ3		12	12	515	2.3%	No
KCNS2		3	3	515	0.6%	No
ACTL9		4	4	515	0.8%	No
CHRNB4		3	3	515	0.6%	No
CHRNB3		6	6	515	1.2%	No
CHRNB2		1	1	515	0.2%	No
C5ORF51		3	3	515	0.6%	No
CHRNB1		2	2	515	0.4%	No
CHRNA7		3	3	515	0.6%	No
CHRNA5		2	2	515	0.4%	No
CHRNA4		5	5	515	1.0%	No
CHRNA3		2	2	515	0.4%	No
CHRNA2		2	1	515	0.2%	No
CHRNA1		1	1	515	0.2%	No
CHRM5		3	3	515	0.6%	No
KHK		3	3	515	0.6%	No
KIF2A		1	1	515	0.2%	No
KIF3C		6	6	515	1.2%	No
KIF5A		6	6	515	1.2%	No
KIF5B		5	3	515	0.6%	Yes
ZNF841		1	1	515	0.2%	No
ZNF615		10	10	515	1.9%	No
SLC36A3		2	2	515	0.4%	No
KIF4B		25	18	515	3.5%	No
CISH		1	1	515	0.2%	No
CIRBP		1	1	515	0.2%	No
CKB		5	4	515	0.8%	No
FRG1		3	3	515	0.6%	No
CIDEA		1	1	515	0.2%	No
CHUK		6	6	515	1.2%	No
CHRNG		7	6	515	1.2%	No
CHRNE		3	3	515	0.6%	No
CHRND		6	5	515	1.0%	No
MTOR		9	9	515	1.7%	Yes
SIGLECL1		1	1	515	0.2%	No
KLK9		3	3	515	0.6%	No
KCNK4		4	4	515	0.8%	No
MYEF2		7	7	515	1.4%	No
IRX4		6	5	515	1.0%	No
ASAP1		11	11	515	2.1%	No
HP1BP3		3	3	515	0.6%	No
CKS1B		2	2	515	0.4%	Yes
NR5A2		4	4	515	0.8%	No
OR2V2		2	2	515	0.4%	No
ERCC8		1	1	515	0.2%	No
FSHR		12	11	515	2.1%	No
CKMT2		1	1	515	0.2%	No
CENPI		3	3	515	0.6%	No
CKMT1B		2	2	515	0.4%	No
CKM		3	3	515	0.6%	No
FSHB		2	2	515	0.4%	No
